Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,06.04.2018 20:00 - 06.04.2018 20:30 (CET),2140,0,0,13505,0,0,0,0,0,400,416,0,0,7486,127,0,192,0,3320,5844
BZN|GB,06.04.2018 20:30 - 06.04.2018 21:00 (CET),2142,0,0,13966,0,0,0,0,0,473,350,0,0,7497,127,0,11,0,3086,5874
BZN|GB,06.04.2018 21:00 - 06.04.2018 21:30 (CET),2138,0,0,14280,0,0,0,0,0,1094,352,0,0,7493,129,0,1,0,2891,5864
BZN|GB,06.04.2018 21:30 - 06.04.2018 22:00 (CET),2141,0,0,13804,0,0,0,0,0,1029,350,0,0,7483,130,0,1,0,2864,5698
BZN|GB,06.04.2018 22:00 - 06.04.2018 22:30 (CET),2142,0,0,13666,0,0,0,0,0,878,312,0,0,7490,129,0,2,0,2870,5654
BZN|GB,06.04.2018 22:30 - 06.04.2018 23:00 (CET),1794,0,0,12838,0,0,0,0,0,950,307,0,0,7476,129,0,0,0,2919,5317
BZN|GB,06.04.2018 23:00 - 06.04.2018 23:30 (CET),1772,0,0,11828,0,0,0,0,0,337,226,0,0,7489,130,0,0,0,2866,5203
BZN|GB,06.04.2018 23:30 - 07.04.2018 00:00 (CET),1871,0,0,10258,0,0,0,0,0,444,240,0,0,7477,130,0,0,0,2774,5112
BZN|GB,07.04.2018 00:00 - 07.04.2018 00:30 (CET),2002,0,0,9451,91,0,0,0,0,222,231,0,0,7484,130,0,0,0,2719,4508
BZN|GB,07.04.2018 00:30 - 07.04.2018 01:00 (CET),2133,0,0,8644,182,0,0,0,0,0,222,0,0,7491,130,0,0,0,2358,4364
BZN|GB,07.04.2018 01:00 - 07.04.2018 01:30 (CET),2121,0,0,7875,230,0,0,0,0,0,191,0,0,7495,132,0,0,0,2235,4173
